Profile,Wheel,Depth.Upper,Depth.Lower,ConeIndex,Crop,Tillage,ResidueRemoved,Plot,Field,Block,Plot_2,Side,Tx,GWC,BD,VWC,TC.perc,OM.perc
119E,Untrafficked,15,30,1.036072178,CC,CP,60,119,70,1,19,E,5,0.283636364,1.345356764,0.3815921,2.13,3
119E,Trafficked,30,60,1.72215457,CC,CP,60,119,70,1,19,E,5,,,,,
119E,Untrafficked,30,60,1.473823579,CC,CP,60,119,70,1,19,E,5,0.273613963,1.377136021,0.376803644,1.43,2.2
119W,Trafficked,0,5,0.711376414,CC,CP,60,119,70,1,19,W,5,,,,,
119W,Untrafficked,0,5,0.084412955,CC,CP,60,119,70,1,19,W,5,0.141750228,1.212761708,0.171909248,1.55,1.9
119W,Trafficked,5,15,1.068280988,CC,CP,60,119,70,1,19,W,5,,,,,
119W,Untrafficked,5,15,0.238590176,CC,CP,60,119,70,1,19,W,5,0.17313563,1.583876065,0.274225381,1.45,2
119W,Trafficked,15,30,1.373008135,CC,CP,60,119,70,1,19,W,5,,,,,
119W,Untrafficked,15,30,1.131420615,CC,CP,60,119,70,1,19,W,5,0.215984776,1.403864685,0.3032134,2.16,2.9
119W,Trafficked,30,60,1.458650784,CC,CP,60,119,70,1,19,W,5,,,,,
119W,Untrafficked,30,60,1.43385415,CC,CP,60,119,70,1,19,W,5,0.190536544,1.49238142,0.284353198,1.16,2.1
120E,Trafficked,0,5,0.322858774,CC,NT,60,120,71,1,20,E,6,,,,,
120E,Untrafficked,0,5,0,CC,NT,60,120,71,1,20,E,6,0.177768526,1.248009586,0.221856825,2.34,3
120E,Trafficked,5,15,0.762665876,CC,NT,60,120,71,1,20,E,6,,,,,
120E,Untrafficked,5,15,0,CC,NT,60,120,71,1,20,E,6,0.197983871,1.456015507,0.288267586,1.84,2.9
120E,Trafficked,15,30,1.222515007,CC,NT,60,120,71,1,20,E,6,,,,,
120E,Untrafficked,15,30,0,CC,NT,60,120,71,1,20,E,6,0.243322356,1.353350583,0.329300453,2.22,2.9
120E,Trafficked,30,60,1.268110281,CC,NT,60,120,71,1,20,E,6,,,,,
120E,Untrafficked,30,60,0,CC,NT,60,120,71,1,20,E,6,0.230162027,1.626514128,0.374361789,1.21,2.1
120W,Trafficked,0,5,0.401357693,CC,NT,60,120,71,1,20,W,6,,,,,
120W,Untrafficked,0,5,0.362667763,CC,NT,60,120,71,1,20,W,6,0.17007874,1.311203918,0.223007911,2.26,2.4
120W,Trafficked,5,15,1.082900393,CC,NT,60,120,71,1,20,W,6,,,,,
120W,Untrafficked,5,15,1.179214857,CC,NT,60,120,71,1,20,W,6,0.175913396,1.581678684,0.27823847,1.73,2.1
120W,Trafficked,15,30,1.798251026,CC,NT,60,120,71,1,20,W,6,,,,,
120W,Untrafficked,15,30,1.322588249,CC,NT,60,120,71,1,20,W,6,0.198601399,1.49559909,0.297028071,2.08,3
120W,Trafficked,30,60,1.554423346,CC,NT,60,120,71,1,20,W,6,,,,,
120W,Untrafficked,30,60,1.645668341,CC,NT,60,120,71,1,20,W,6,0.163207163,1.531817699,0.250003621,1.4,2.2
201E,Trafficked,0,5,0.574644996,CC,NT,60,201,71,2,1,E,6,,,,,
201E,Untrafficked,0,5,0.282002363,CC,NT,60,201,71,2,1,E,6,0.234699308,1.243008926,0.291733335,2.81,4.5
201E,Trafficked,5,15,1.211065294,CC,NT,60,201,71,2,1,E,6,,,,,
